Classification,Probability,Field1,Field1Criteria1Qualifier,Field1Criteria1Value,Field1Criteria2Qualifier,Field1Criteria2Value,Field2,Field2Criteria1Qualifier,Field2Criteria1Value,Field2Criteria2Qualifier,Field2Criteria2Value,Field3,Field3Criteria1Qualifier,Field3Criteria1Value,Field3Criteria2Qualifier,Field3Criteria2Value
Other,0.86091737,rmha_offset,<=,0.00000,na,na,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,5.22254390,rmha_offset,>,0.00000,<=,0.02000,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,2.02073372,rmha_offset,>,0.02000,<=,0.03000,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,0.86999751,rmha_offset,>,0.03000,<=,0.04000,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,0.34653683,rmha_offset,>,0.04000,<=,0.05000,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,0.13817608,rmha_offset,>,0.05000,<=,0.06000,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,0.05190741,rmha_offset,>,0.06000,<=,0.07000,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,0.02193271,rmha_offset,>,0.07000,<=,0.07500,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,0.00584872,rmha_offset,>,0.07500,<=,0.09000,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,0.00283003,rmha_offset,>,0.09000,<=,0.12100,suspect_reddening,=,0,na,na,na,na,na,na,na
Other,0.00007311,rmha_offset,>,0.12100,na,na,suspect_reddening,=,0,na,na,na,na,na,na,na
ClassIIYSO,0.28467153,rmha_offset,<=,0.00000,na,na,suspect_reddening,=,0,na,na,na,na,na,na,na
ClassIIYSO,2.00729927,rmha_offset,>,0.00000,<=,0.02000,suspect_reddening,=,0,na,na,na,na,na,na,na
ClassIIYSO,1.82481752,rmha_offset,>,0.02000,<=,0.04000,suspect_reddening,=,0,na,na,na,na,na,na,na
ClassIIYSO,1.25130344,rmha_offset,>,0.04000,<=,0.07500,suspect_reddening,=,0,na,na,na,na,na,na,na
ClassIIYSO,1.45985401,rmha_offset,>,0.07500,<=,0.10000,suspect_reddening,=,0,na,na,na,na,na,na,na
ClassIIYSO,1.73792145,rmha_offset,>,0.10000,<=,0.12100,suspect_reddening,=,0,na,na,na,na,na,na,na
ClassIIYSO,0.52189781,rmha_offset,>,0.12100,na,na,suspect_reddening,=,0,na,na,na,na,na,na,na
