Classification,Probability,Field1,Field1Criteria1Qualifier,Field1Criteria1Value,Field1Criteria2Qualifier,Field1Criteria2Value,Field2,Field2Criteria1Qualifier,Field2Criteria1Value,Field2Criteria2Qualifier,Field2Criteria2Value,Field3,Field3Criteria1Qualifier,Field3Criteria1Value,Field3Criteria2Qualifier,Field3Criteria2Value
Other,0.00374593,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,5,<,5.6,suspect_reddening,=,0,na,na
Other,0.00222671,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,5.6,<,5.8,suspect_reddening,=,0,na,na
Other,0.00295653,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,5.8,<,6,suspect_reddening,=,0,na,na
Other,0.00400658,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6,<,6.2,suspect_reddening,=,0,na,na
Other,0.00449810,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6.2,<,6.4,suspect_reddening,=,0,na,na
Other,0.00774507,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6.4,<,6.6,suspect_reddening,=,0,na,na
Other,0.01527417,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6.6,<,6.8,suspect_reddening,=,0,na,na
Other,0.03284207,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6.8,<=,7,suspect_reddening,=,0,na,na
Other,0.92670485,older_max_iso_age,=,1,na,na,na,na,na,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.04104478,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,5,<,5.6,suspect_reddening,=,0,na,na
ClassIIYSO,0.07089552,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,5.6,<,5.8,suspect_reddening,=,0,na,na
ClassIIYSO,0.07089552,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,5.8,<,6,suspect_reddening,=,0,na,na
ClassIIYSO,0.10447761,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6,<,6.2,suspect_reddening,=,0,na,na
ClassIIYSO,0.10447761,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6.2,<,6.4,suspect_reddening,=,0,na,na
ClassIIYSO,0.16417910,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6.4,<,6.6,suspect_reddening,=,0,na,na
ClassIIYSO,0.15298507,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6.6,<,6.8,suspect_reddening,=,0,na,na
ClassIIYSO,0.11567164,good_classiiyso_fit,=,1,na,na,rmi_r_iso_log10age,>=,6.8,<=,7,suspect_reddening,=,0,na,na
ClassIIYSO,0.17537313,older_max_iso_age,=,1,na,na,na,na,na,na,na,suspect_reddening,=,0,na,na
