Classification,Probability,Field1,Field1Criteria1Qualifier,Field1Criteria1Value,Field1Criteria2Qualifier,Field1Criteria2Value,Field2,Field2Criteria1Qualifier,Field2Criteria1Value,Field2Criteria2Qualifier,Field2Criteria2Value,Field3,Field3Criteria1Qualifier,Field3Criteria1Value,Field3Criteria2Qualifier,Field3Criteria2Value
Other,0.99741842,HK_offset,<=,-0.03000,na,na,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
Other,0.15507695,HK_offset,>,-0.03000,<=,-0.02900,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
Other,0.08017910,HK_offset,>,-0.02900,<=,-0.01000,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
Other,0.02919095,HK_offset,>,-0.01000,<=,0.00500,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
Other,0.00575399,HK_offset,>,0.00500,<=,0.07000,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
Other,0.00009122,HK_offset,>,0.07000,na,na,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.11904762,HK_offset,<=,-0.03000,na,na,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,1.90476190,HK_offset,>,-0.03000,<=,0.07000,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.69047619,HK_offset,>,0.07000,na,na,Source,=,UKIDSS,na,na,suspect_reddening,=,0,na,na
Other,0.99741842,HK_offset,<=,-0.03000,na,na,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
Other,0.15507695,HK_offset,>,-0.03000,<=,-0.02900,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
Other,0.08017910,HK_offset,>,-0.02900,<=,-0.01000,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
Other,0.02919095,HK_offset,>,-0.01000,<=,0.00500,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
Other,0.00575399,HK_offset,>,0.00500,<=,0.07000,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
Other,0.00009122,HK_offset,>,0.07000,na,na,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.11904762,HK_offset,<=,-0.03000,na,na,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,1.90476190,HK_offset,>,-0.03000,<=,0.07000,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.69047619,HK_offset,>,0.07000,na,na,Source,=,VVV,na,na,suspect_reddening,=,0,na,na
Other,0.96174781,HK_offset,<=,-0.09000,na,na,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.57059199,HK_offset,>,-0.09000,<=,-0.08000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.34066594,HK_offset,>,-0.08000,<=,0.00000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.10886295,HK_offset,>,0.00000,<=,0.01000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.05755972,HK_offset,>,0.01000,<=,0.04000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.04129284,HK_offset,>,0.04000,<=,0.06000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.02502596,HK_offset,>,0.06000,<=,0.07500,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.00635274,HK_offset,>,0.07500,<=,0.14000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.00677787,HK_offset,>,0.14000,<=,0.21200,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
Other,0.00037539,HK_offset,>,0.21200,na,na,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.04464286,HK_offset,<=,-0.09000,na,na,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.49327354,HK_offset,>,-0.09000,<=,0.01000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.82787168,HK_offset,>,0.01000,<=,0.07500,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,1.40935298,HK_offset,>,0.07500,<=,0.11000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,1.64424514,HK_offset,>,0.11000,<=,0.14000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,1.97309417,HK_offset,>,0.14000,<=,0.19000,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,2.24215247,HK_offset,>,0.19000,<=,0.21200,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
ClassIIYSO,0.60267857,HK_offset,>,0.21200,na,na,Source,=,2MASS,na,na,suspect_reddening,=,0,na,na
